id,name,createdAt,updatedAt
1,Matemáticas,2024-03-05 12:12:45,2024-03-05 12:12:45
2,Lengua,2024-03-05 12:12:52,2024-03-05 12:12:52
3,derecho,2024-03-05 12:12:55,2024-03-05 12:12:55
4,Administración,2024-03-05 12:13:12,2024-03-05 12:13:12
5,Biología,2024-03-05 12:14:27,2024-03-05 12:14:27
6,Geografía,2024-03-05 12:14:39,2024-03-05 12:14:39
7,Geografía,2024-03-05 13:57:46,2024-03-05 13:57:46
8,Geografía,2024-03-05 13:58:47,2024-03-05 13:58:47
9,Química,2024-03-05 13:59:22,2024-03-05 13:59:22
10,Química,2024-03-05 13:59:50,2024-03-05 13:59:50
11,Química,2024-03-05 13:59:55,2024-03-05 13:59:55
12,Química,2024-03-05 14:00:40,2024-03-05 14:00:40
13,Química,2024-03-05 14:01:17,2024-03-05 14:01:17
14,Química,2024-03-05 14:03:00,2024-03-05 14:03:00
15,Química,2024-03-05 14:03:35,2024-03-05 14:03:35
16,Química,2024-03-05 14:03:46,2024-03-05 14:03:46
17,Física,2024-03-05 14:06:14,2024-03-05 14:06:14
18,Física,2024-03-05 14:06:41,2024-03-05 14:06:41
19,Física,2024-03-05 14:09:23,2024-03-05 14:09:23
20,Física,2024-03-05 14:09:29,2024-03-05 14:09:29
