id,date,time,createdAt,updatedAt,teacher_id
14,2024-06-14,16:30:00,2024-03-05 10:41:01,2024-03-05 11:06:44,7
15,2024-05-12,16:30:00,2024-03-05 10:44:00,2024-03-05 10:44:00,7
16,2024-05-12,16:30:00,2024-03-05 10:44:09,2024-03-05 10:44:09,7
17,2024-05-12,16:30:00,2024-03-05 10:47:07,2024-03-05 10:47:07,7
18,2024-05-12,16:30:00,2024-03-05 10:47:42,2024-03-05 10:47:42,7
19,2024-05-12,16:30:00,2024-03-05 10:49:48,2024-03-05 10:49:48,7
27,2024-06-14,17:30:00,2024-03-05 11:03:24,2024-03-05 11:03:24,7
30,2027-05-05,13:00:00,2024-03-05 15:20:08,2024-03-05 15:20:08,8
31,2027-05-05,14:00:00,2024-03-05 15:20:35,2024-03-05 15:20:35,8
32,2027-05-05,15:00:00,2024-03-05 15:20:37,2024-03-05 15:20:37,8
33,2027-05-05,16:00:00,2024-03-05 15:20:40,2024-03-05 15:20:40,8
34,2024-02-15,16:00:00,2024-03-06 13:49:00,2024-03-06 13:49:00,9
35,2024-02-15,16:00:00,2024-03-06 13:49:04,2024-03-06 13:49:04,9
36,2024-02-15,16:00:00,2024-03-06 13:49:08,2024-03-06 13:49:08,9
37,2024-02-15,16:00:00,2024-03-06 13:49:08,2024-03-06 13:49:08,9
38,2024-02-15,16:00:00,2024-03-06 13:49:09,2024-03-06 13:49:09,9
39,2024-02-15,16:00:00,2024-03-06 13:50:31,2024-03-06 13:50:31,9
40,2024-02-15,16:00:00,2024-03-06 13:50:49,2024-03-06 13:50:49,9
41,2024-02-15,16:00:00,2024-03-06 13:52:20,2024-03-06 13:52:20,9
